forest_area,freshwater,paris_agreement,unfccc,hdi,renewable_energy_consumption,total_greenhouse_gas_emission,country
4.83,55.0,1.0,1994.0,0.54,46.6,422511.19025,Pakistan
90.02,210.25510296910397,1.0,1999.0,0.797,0.9,177.72630199999998,Palau
79.18,801.0,1.0,1993.0,0.568,54.3,18050.71925,Papua New Guinea
24.11,479.0,1.0,1994.0,0.71,29.1,213649.08913,Philippines
1.68,0.8,1.0,2015.0,0.716,15.0,193091.98974950938,State of Palestine
0.0,0.1,1.0,1996.0,0.875,0.1,118889.609633,Qatar
64.52,64.9,1.0,1993.0,0.929,3.6,601768.72481,Republic of Korea
57.13,102.67065437858366,1.0,1994.0,0.702,37.5,524.318361,Samoa
0.45,2.4,1.0,1994.0,0.875,0.1,624435.51151,Saudi Arabia
21.93,0.6,1.0,1997.0,0.949,0.9,58364.130640999996,Singapore
90.14,44.7,1.0,1994.0,0.562,49.0,662.580567,Solomon Islands
33.7,52.8,1.0,1993.0,0.78,49.3,33381.16644,Sri Lanka
2.84,7.1,1.0,1996.0,0.557,1.1,44461.86243,Syrian Arab Republic
3.05,63.5,1.0,1998.0,0.679,38.8,17280.843571999998,Tajikistan
38.9,224.5,1.0,1994.0,0.803,20.8,362303.45800000004,Thailand
61.94,8.2,1.0,2006.0,0.566,11.4,5514.816109,Timor-Leste
12.43,0.0,1.0,1998.0,0.739,1.9,262.706858,Tonga
28.87,227.0,0.0,2004.0,0.855,13.7,495983.03941,Turkey
8.78,1.4,1.0,1995.0,0.744,0.1,193800.796963,Turkmenistan
33.33,0.1027660900300588,1.0,1993.0,0.653,6.7,19.61768,Tuvalu
4.47,0.2,1.0,1995.0,0.937,0.9,246863.04494400002,United Arab Emirates
8.67,16.3,1.0,1993.0,0.727,1.0,186169.05645,Uzbekistan
36.28,10.0,1.0,1993.0,0.614,26.0,581.906886,Vanuatu
47.23,359.4,1.0,1994.0,0.726,19.1,461774.87270999997,Viet Nam
1.04,2.1,0.0,1996.0,0.424,3.5,23867.112161,Yemen
28.79,26.9,1.0,1994.0,0.789,44.6,8090.582615,Albania
11.54,6.9,1.0,1993.0,0.786,8.4,10240.101563,Armenia
13.69,8.1,1.0,1995.0,0.76,1.2,54831.685757,Azerbaijan
43.19,34.0,1.0,2000.0,0.801,8.4,87783.30443,Belarus
42.73,35.5,1.0,2000.0,0.779,37.7,25891.458149,Bosnia and Herzegovina
35.86,21.0,1.0,1995.0,0.799,21.1,45447.326264999996,Bulgaria
34.65,37.7,1.0,1996.0,0.878,32.4,21068.640908,Croatia
34.67,13.2,1.0,1993.0,0.895,17.0,105972.287858,Czechia
56.09,12.7,1.0,1994.0,0.899,40.0,10021.829958,Estonia
40.62,58.1,1.0,1994.0,0.814,23.5,17546.391024999997,Georgia
22.68,6.0,1.0,1994.0,0.851,14.8,58210.01351700001,Hungary
54.85,16.9,1.0,1995.0,0.879,43.8,11234.914367,Latvia
35.13,15.5,1.0,1995.0,0.879,31.7,19306.305232,Lithuania
61.49,160.7967661293631,1.0,2006.0,0.844,39.6,3461.100304,Montenegro
30.97,53.6,1.0,1994.0,0.881,16.1,331628.58612,Poland
11.75,1.6,1.0,1995.0,0.763,23.7,12891.584842,Republic of Moldova
30.12,42.4,1.0,1994.0,0.827,24.1,94274.817478,Romania
49.78,4312.0,1.0,1994.0,0.821,3.7,2304729.3506799997,Russian Federation
31.13,8.4,1.0,2001.0,0.805,26.0,62432.805628,Serbia
40.06,12.6,1.0,1994.0,0.855,17.6,35477.794783,Slovakia
61.46,18.7,1.0,1995.0,0.926,22.4,14982.332441999999,Slovenia
39.71,5.4,1.0,1998.0,0.765,20.3,9713.116627,North Macedonia
16.73,55.1,1.0,1997.0,0.734,8.7,226382.02478,Ukraine
18.45,0.1,1.0,1993.0,0.826,0.7,691.229295,Antigua and Barbuda
10.44,292.0,1.0,1994.0,0.849,9.8,336633.08829,Argentina
50.94,0.7,1.0,1994.0,0.82,1.4,2712.998786,Bahamas
14.65,0.1,1.0,1994.0,0.809,4.6,3494.1196919999998,Barbados
55.99,15.3,1.0,1994.0,0.7,30.2,1407.053872,Belize
46.92,303.5,1.0,1994.0,0.698,16.9,54811.227838000006,Bolivia (Plurinational State of)
59.42,5661.0,1.0,1994.0,0.76,50.1,1054456.0247,Brazil
24.49,885.0,1.0,1994.0,0.86,26.7,103222.76740200001,Chile
53.31,2145.0,1.0,1995.0,0.758,31.3,179992.21417000002,Colombia
59.44,113.0,1.0,1994.0,0.806,36.4,13493.638228,Costa Rica
31.17,38.1,1.0,1994.0,0.764,23.9,37900.156892,Cuba
63.83,0.2,1.0,1993.0,0.74,8.3,227.199945,Dominica
44.38,23.5,1.0,1998.0,0.766,16.7,35519.92458,Dominican Republic
50.32,442.4,1.0,1993.0,0.765,20.1,67084.12365,Ecuador
28.18,15.6,1.0,1995.0,0.674,23.7,10661.542191,El Salvador
52.06,0.2,1.0,1994.0,0.793,10.4,2378.997126,Grenada
32.92,109.2,1.0,1995.0,0.629,65.5,32662.600871,Guatemala
93.55,241.0,1.0,1994.0,0.742,12.0,5182.237673,Guyana
12.6,13.0,1.0,1996.0,0.552,76.3,9946.043803,Haiti
56.83,90.7,1.0,1995.0,0.624,50.1,19700.41421,Honduras
55.11,10.8,1.0,1995.0,0.706,11.4,7071.222675,Jamaica
33.79,409.0,1.0,1993.0,0.781,12.3,569903.52329,Mexico
28.32,156.2,1.0,1995.0,0.669,52.1,17734.373077,Nicaragua
56.68,136.6,1.0,1995.0,0.82,28.4,15883.701565000001,Panama
40.53,117.0,1.0,1994.0,0.731,61.4,48938.02379,Paraguay
56.51,1641.0,1.0,1993.0,0.762,31.6,88459.23488999999,Peru
42.31,0.0,1.0,1993.0,0.838,1.4,320.057291,Saint Kitts and Nevis
34.05,0.3,1.0,1993.0,0.725,10.0,799.4368319999999,Saint Lucia
97.41,99.0,1.0,1997.0,0.69,14.7,4195.081843,Suriname
44.48,3.8,1.0,1994.0,0.814,0.5,22499.885733,Trinidad and Tobago
11.6,92.2,1.0,1994.0,0.83,61.1,34875.581307,Uruguay
52.41,805.0,1.0,1994.0,0.699,23.3,183200.45422,Venezuela (Bolivarian Republic of)
34.04,0.3,1.0,2011.0,0.884,21.9,504.24416899999994,Andorra
17.44,492.0,1.0,1992.0,0.946,10.9,559813.37906,Australia
47.25,55.0,1.0,1994.0,0.926,35.8,69765.219348,Austria
22.76,12.0,1.0,1996.0,0.942,12.3,97902.38292999999,Belgium
38.15,2850.0,1.0,1992.0,0.935,23.9,664097.39543,Canada
14.97,6.0,1.0,1993.0,0.952,39.7,40628.099648,Denmark
73.74,107.0,1.0,1994.0,0.942,47.5,46713.285929,Finland
31.51,200.0,1.0,1994.0,0.91,16.9,361808.90255,France
32.73,107.0,1.0,1993.0,0.95,18.6,684083.20897,Germany
30.27,58.0,1.0,1994.0,0.893,20.1,64831.273194,Greece
0.51,170.0,1.0,1993.0,0.959,82.8,2330.423414,Iceland
11.35,49.0,1.0,1994.0,0.95,13.7,58567.923119,Ireland
6.47,0.8,1.0,1996.0,0.915,5.6,70963.806836,Israel
32.52,182.5,1.0,1994.0,0.906,18.7,341165.11468,Italy
41.88,69.21666646859023,1.0,1994.0,0.942,55.2,145.455338,Liechtenstein
36.5,1.0,1.0,1994.0,0.927,20.8,8767.388664,Luxembourg
1.44,0.1,1.0,1994.0,0.915,9.2,1886.957802,Malta
10.97,11.0,1.0,1993.0,0.946,10.8,153852.587705,Netherlands
37.57,327.0,1.0,1993.0,0.939,28.6,78511.52125,New Zealand
40.05,382.0,1.0,1993.0,0.966,61.3,44043.155788000004,Norway
36.15,38.0,1.0,1993.0,0.874,31.2,53448.848959,Portugal
37.17,111.2,1.0,1993.0,0.911,19.4,263369.39652,Spain
68.69,171.0,1.0,1993.0,0.952,58.4,44749.265934,Sweden
32.11,40.4,1.0,1993.0,0.967,26.4,42288.052088,Switzerland
28.87,227.0,0.0,2004.0,0.855,13.7,495983.03941,Turkey
13.19,145.0,1.0,1993.0,0.94,13.5,386762.66387,United Kingdom of Great Britain and Northern Ireland
33.87,2818.0,1.0,1992.0,0.927,11.2,5326776.2589,United States of America
